Building[A][9],Built,City,Country,Floors,Height (ft),Height (m)[3],Rank
Tianjin Modern City Office Tower,2015,Tianjin,China,65,"1,109 ft",338 m,57
Tianjin World Financial Center,2010,Tianjin,China,79,"1,105 ft",337 m,58
Trump International Hotel and Tower,2009,Chicago,United States,98,"1,389 ft",423 m,20
Tuntex Sky Tower,1997,Kaohsiung,Taiwan,85,"1,140 ft",347 m,48
"Twin Towers Guiyang, East Tower",2017,Guiyang,China,74,"1,099 ft",335 m,59
"Twin Towers Guiyang, West Tower",2017,Guiyang,China,74,"1,099 ft",335 m,59
Two International Finance Centre,2003,Hong Kong,China,88,"1,352 ft",412 m,24
Two Prudential Plaza,1990,Chicago,United States,64,995 ft,303 m,114
U.S. Bank Tower,1989,Los Angeles,United States,73,"1,018 ft",310 m,93
Wanda Plaza 1,2016,Kunming,China,70,"1,008 ft",307 m,101
Wanda Plaza 2,2016,Kunming,China,70,"1,008 ft",307 m,101
Wells Fargo Plaza,1983,Houston,United States,71,992 ft,302 m,121
Wenzhou World Trade Center,2010,Wenzhou,China,68,"1,056 ft",322 m,79
We've the Zenith Tower A,2011,Busan,South Korea,80,984 ft,301 m,126
Willis Tower (formerly the Sears Tower),1974,Chicago,United States,108,"1,451 ft",442 m,14
Wilshire Grand Center,2016,Los Angeles,United States,73,"1,099 ft",335 m,59
Wuhan Center,2016,Wuhan,China,88,"1,437 ft",438 m,17
Wuxi Maoye City - Marriott Hotel,2014,Wuxi,China,68,997 ft,304 m,111
Wuxi Suning Plaza 1,2014,Wuxi,China,68,"1,076 ft",328 m,70
Yantai Shimao No.1 The Harbour,2015,Yantai,China,59,"1,060 ft",323 m,77
Yuexiu Fortune Center Tower 1,2017,Wuhan,China,66,"1,083 ft",330 m,65
Zhuhai St. Regis Hotel & Office Tower,2017,Zhuhai,China,67,"1,083 ft",330 m,65
Zifeng Tower,2010,Nanjing,China,89,"1,476 ft",450 m,13
